110000,北京市,东城区
110000,北京市,西城区
110000,北京市,朝阳区
110000,北京市,丰台区
110000,北京市,石景山区
110000,北京市,海淀区
110000,北京市,门头沟区
110000,北京市,房山区
110000,北京市,通州区
110000,北京市,顺义区
110000,北京市,昌平区
110000,北京市,大兴区
110000,北京市,怀柔区
110000,北京市,平谷区
110000,北京市,密云区
110000,北京市,延庆区
120000,天津市,和平区
120000,天津市,河东区
120000,天津市,河西区
120000,天津市,南开区
120000,天津市,河北区
120000,天津市,红桥区
120000,天津市,东丽区
120000,天津市,西青区
120000,天津市,津南区
120000,天津市,北辰区
120000,天津市,武清区
120000,天津市,宝坻区
120000,天津市,滨海新区
120000,天津市,宁河区
120000,天津市,静海区
120000,天津市,蓟州区
130000,河北省,秦皇岛市,卢龙县
130000,河北省,邯郸市,邯山区
130000,河北省,邯郸市,丛台区
130000,河北省,邯郸市,复兴区
130000,河北省,邯郸市,峰峰矿区
130000,河北省,邯郸市,肥乡区
130000,河北省,邯郸市,永年区
130000,河北省,邯郸市,临漳县
130000,河北省,邯郸市,成安县
130000,河北省,邯郸市,大名县
130000,河北省,邯郸市,涉县
130000,河北省,邯郸市,磁县
130000,河北省,邯郸市,邱县
130000,河北省,邯郸市,鸡泽县
130000,河北省,邯郸市,广平县
130000,河北省,邯郸市,馆陶县
130000,河北省,邯郸市,魏县
130000,河北省,邯郸市,曲周县
130000,河北省,邯郸市,武安市
130000,河北省,邢台市,襄都区
130000,河北省,邢台市,信都区
130000,河北省,邢台市,任泽区
130000,河北省,邢台市,南和区
130000,河北省,邢台市,临城县
130000,河北省,邢台市,内丘县
130000,河北省,邢台市,柏乡县
130000,河北省,邢台市,隆尧县
130000,河北省,邢台市,宁晋县
130000,河北省,邢台市,巨鹿县
130000,河北省,邢台市,新河县
130000,河北省,邢台市,广宗县
130000,河北省,邢台市,平乡县
130000,河北省,邢台市,威县
130000,河北省,邢台市,清河县
130000,河北省,邢台市,临西县
130000,河北省,邢台市,南宫市
130000,河北省,邢台市,沙河市
130000,河北省,保定市,竞秀区
130000,河北省,保定市,莲池区
130000,河北省,保定市,满城区
130000,河北省,保定市,清苑区
130000,河北省,保定市,徐水区
130000,河北省,保定市,涞水县
130000,河北省,保定市,阜平县
130000,河北省,保定市,定兴县
130000,河北省,保定市,唐县
130000,河北省,保定市,高阳县
130000,河北省,保定市,容城县
130000,河北省,保定市,涞源县
130000,河北省,保定市,望都县
130000,河北省,保定市,安新县
130000,河北省,保定市,易县
130000,河北省,保定市,曲阳县
130000,河北省,保定市,蠡县
130000,河北省,保定市,顺平县
130000,河北省,保定市,博野县
130000,河北省,保定市,雄县
130000,河北省,保定市,涿州市
130000,河北省,保定市,定州市
130000,河北省,保定市,安国市
130000,河北省,保定市,高碑店市
130000,河北省,张家口市,桥东区
130000,河北省,张家口市,桥西区
130000,河北省,张家口市,宣化区
130000,河北省,张家口市,下花园区
130000,河北省,张家口市,万全区
130000,河北省,张家口市,崇礼区
130000,河北省,张家口市,张北县
130000,河北省,张家口市,康保县
130000,河北省,张家口市,沽源县
130000,河北省,张家口市,尚义县
130000,河北省,张家口市,蔚县
130000,河北省,张家口市,阳原县
130000,河北省,张家口市,怀安县
130000,河北省,张家口市,怀来县
130000,河北省,张家口市,涿鹿县
130000,河北省,张家口市,赤城县
130000,河北省,承德市,双桥区
130000,河北省,承德市,双滦区
130000,河北省,承德市,鹰手营子矿区
130000,河北省,承德市,承德县
130000,河北省,承德市,兴隆县
130000,河北省,承德市,滦平县
130000,河北省,承德市,隆化县
130000,河北省,承德市,丰宁满族自治县
130000,河北省,承德市,宽城满族自治县
130000,河北省,承德市,围场满族蒙古族自治县
130000,河北省,承德市,平泉市
130000,河北省,沧州市,新华区
130000,河北省,沧州市,运河区
130000,河北省,沧州市,沧县
130000,河北省,沧州市,青县
130000,河北省,沧州市,东光县
130000,河北省,沧州市,海兴县
130000,河北省,沧州市,盐山县
130000,河北省,沧州市,肃宁县
130000,河北省,沧州市,南皮县
130000,河北省,沧州市,吴桥县
130000,河北省,沧州市,献县
130000,河北省,沧州市,孟村回族自治县
130000,河北省,沧州市,泊头市
130000,河北省,沧州市,任丘市
130000,河北省,沧州市,黄骅市
130000,河北省,沧州市,河间市
130000,河北省,廊坊市,安次区
130000,河北省,廊坊市,广阳区
130000,河北省,廊坊市,固安县
130000,河北省,廊坊市,永清县
130000,河北省,廊坊市,香河县
130000,河北省,廊坊市,大城县
130000,河北省,廊坊市,文安县
130000,河北省,廊坊市,大厂回族自治县
130000,河北省,廊坊市,霸州市
130000,河北省,廊坊市,三河市
130000,河北省,衡水市,桃城区
130000,河北省,衡水市,冀州区
130000,河北省,衡水市,枣强县
130000,河北省,衡水市,武邑县
130000,河北省,衡水市,武强县
130000,河北省,衡水市,饶阳县
130000,河北省,衡水市,安平县
130000,河北省,衡水市,故城县
130000,河北省,衡水市,景县
130000,河北省,衡水市,阜城县
130000,河北省,衡水市,深州市
140000,山西省,太原市,小店区
140000,山西省,太原市,迎泽区
140000,山西省,太原市,杏花岭区
140000,山西省,太原市,尖草坪区
140000,山西省,太原市,万柏林区
140000,山西省,太原市,晋源区
140000,山西省,太原市,清徐县
140000,山西省,太原市,阳曲县
140000,山西省,太原市,娄烦县
140000,山西省,太原市,古交市
140000,山西省,大同市,新荣区
140000,山西省,大同市,平城区
140000,山西省,大同市,云冈区
140000,山西省,大同市,云州区
140000,山西省,大同市,阳高县
140000,山西省,大同市,天镇县
140000,山西省,大同市,广灵县
140000,山西省,大同市,灵丘县
140000,山西省,大同市,浑源县
140000,山西省,大同市,左云县
140000,山西省,阳泉市,城区
140000,山西省,阳泉市,矿区
140000,山西省,阳泉市,郊区
140000,山西省,阳泉市,平定县
140000,山西省,阳泉市,盂县
140000,山西省,长治市,潞州区
140000,山西省,长治市,上党区
140000,山西省,长治市,屯留区
140000,山西省,长治市,潞城区
140000,山西省,长治市,襄垣县
140000,山西省,长治市,平顺县
140000,山西省,长治市,黎城县
140000,山西省,长治市,壶关县
140000,山西省,长治市,长子县
140000,山西省,长治市,武乡县
140000,山西省,长治市,沁县
140000,山西省,长治市,沁源县
140000,山西省,晋城市,城区
140000,山西省,晋城市,沁水县
140000,山西省,晋城市,阳城县
140000,山西省,晋城市,陵川县
140000,山西省,晋城市,泽州县
140000,山西省,晋城市,高平市
140000,山西省,朔州市,朔城区
140000,山西省,朔州市,平鲁区
140000,山西省,朔州市,山阴县
140000,山西省,朔州市,应县
140000,山西省,朔州市,右玉县
140000,山西省,朔州市,怀仁市
140000,山西省,晋中市,榆次区
140000,山西省,晋中市,太谷区
140000,山西省,晋中市,榆社县
140000,山西省,晋中市,左权县
140000,山西省,晋中市,和顺县
140000,山西省,晋中市,昔阳县
140000,山西省,晋中市,寿阳县
140000,山西省,晋中市,祁县
140000,山西省,晋中市,平遥县
140000,山西省,晋中市,灵石县
140000,山西省,晋中市,介休市
140000,山西省,运城市,盐湖区
140000,山西省,运城市,临猗县
140000,山西省,运城市,万荣县
140000,山西省,运城市,闻喜县
140000,山西省,运城市,稷山县
140000,山西省,运城市,新绛县
140000,山西省,运城市,绛县
140000,山西省,运城市,垣曲县
140000,山西省,运城市,夏县
140000,山西省,运城市,平陆县
140000,山西省,运城市,芮城县
140000,山西省,运城市,永济市
140000,山西省,运城市,河津市
140000,山西省,忻州市,忻府区
140000,山西省,忻州市,定襄县
140000,山西省,忻州市,五台县
140000,山西省,忻州市,代县
140000,山西省,忻州市,繁峙县
140000,山西省,忻州市,宁武县
140000,山西省,忻州市,静乐县
140000,山西省,忻州市,神池县
140000,山西省,忻州市,五寨县
140000,山西省,忻州市,岢岚县
140000,山西省,忻州市,河曲县
140000,山西省,忻州市,保德县
140000,山西省,忻州市,偏关县
140000,山西省,忻州市,原平市
140000,山西省,临汾市,尧都区
140000,山西省,临汾市,曲沃县
140000,山西省,临汾市,翼城县
140000,山西省,临汾市,襄汾县
140000,山西省,临汾市,洪洞县
140000,山西省,临汾市,古县
140000,山西省,临汾市,安泽县
140000,山西省,临汾市,浮山县
140000,山西省,临汾市,吉县
140000,山西省,临汾市,乡宁县
140000,山西省,临汾市,大宁县
140000,山西省,临汾市,隰县
140000,山西省,临汾市,永和县
140000,山西省,临汾市,蒲县
140000,山西省,临汾市,汾西县
140000,山西省,临汾市,侯马市
140000,山西省,临汾市,霍州市
140000,山西省,吕梁市,离石区
140000,山西省,吕梁市,文水县
140000,山西省,吕梁市,交城县
140000,山西省,吕梁市,兴县
140000,山西省,吕梁市,临县
140000,山西省,吕梁市,柳林县
140000,山西省,吕梁市,石楼县
140000,山西省,吕梁市,岚县
140000,山西省,吕梁市,方山县
140000,山西省,吕梁市,中阳县
140000,山西省,吕梁市,交口县
140000,山西省,吕梁市,孝义市
140000,山西省,吕梁市,汾阳市
150000,内蒙古自治区,呼和浩特市,新城区
150000,内蒙古自治区,呼和浩特市,回民区
150000,内蒙古自治区,呼和浩特市,玉泉区
150000,内蒙古自治区,呼和浩特市,赛罕区
150000,内蒙古自治区,呼和浩特市,土默特左旗
150000,内蒙古自治区,呼和浩特市,托克托县
150000,内蒙古自治区,呼和浩特市,和林格尔县
150000,内蒙古自治区,呼和浩特市,清水河县
150000,内蒙古自治区,呼和浩特市,武川县
150000,内蒙古自治区,包头市,东河区
150000,内蒙古自治区,包头市,昆都仑区
150000,内蒙古自治区,包头市,青山区
150000,内蒙古自治区,包头市,石拐区
150000,内蒙古自治区,包头市,白云鄂博矿区
150000,内蒙古自治区,包头市,九原区
150000,内蒙古自治区,包头市,土默特右旗
150000,内蒙古自治区,包头市,固阳县
150000,内蒙古自治区,包头市,达尔罕茂明安联合旗
150000,内蒙古自治区,乌海市,海勃湾区
150000,内蒙古自治区,乌海市,海南区
150000,内蒙古自治区,乌海市,乌达区
150000,内蒙古自治区,赤峰市,红山区
150000,内蒙古自治区,赤峰市,元宝山区
150000,内蒙古自治区,赤峰市,松山区
150000,内蒙古自治区,赤峰市,阿鲁科尔沁旗
150000,内蒙古自治区,赤峰市,巴林左旗
150000,内蒙古自治区,赤峰市,巴林右旗
150000,内蒙古自治区,赤峰市,林西县
150000,内蒙古自治区,赤峰市,克什克腾旗
150000,内蒙古自治区,赤峰市,翁牛特旗
150000,内蒙古自治区,赤峰市,喀喇沁旗
150000,内蒙古自治区,赤峰市,宁城县
150000,内蒙古自治区,赤峰市,敖汉旗
150000,内蒙古自治区,通辽市,科尔沁区
150000,内蒙古自治区,通辽市,科尔沁左翼中旗
150000,内蒙古自治区,通辽市,科尔沁左翼后旗
150000,内蒙古自治区,通辽市,开鲁县
150000,内蒙古自治区,通辽市,库伦旗
150000,内蒙古自治区,通辽市,奈曼旗
150000,内蒙古自治区,通辽市,扎鲁特旗
150000,内蒙古自治区,通辽市,霍林郭勒市
150000,内蒙古自治区,鄂尔多斯市,东胜区
150000,内蒙古自治区,鄂尔多斯市,康巴什区
150000,内蒙古自治区,鄂尔多斯市,达拉特旗
150000,内蒙古自治区,鄂尔多斯市,准格尔旗
150000,内蒙古自治区,鄂尔多斯市,鄂托克前旗
150000,内蒙古自治区,鄂尔多斯市,鄂托克旗
150000,内蒙古自治区,鄂尔多斯市,杭锦旗
150000,内蒙古自治区,鄂尔多斯市,乌审旗
150000,内蒙古自治区,鄂尔多斯市,伊金霍洛旗
150000,内蒙古自治区,呼伦贝尔市,海拉尔区
150000,内蒙古自治区,呼伦贝尔市,扎赉诺尔区
150000,内蒙古自治区,呼伦贝尔市,阿荣旗
150000,内蒙古自治区,呼伦贝尔市,莫力达瓦达斡尔族自治旗
150000,内蒙古自治区,呼伦贝尔市,鄂伦春自治旗
150000,内蒙古自治区,呼伦贝尔市,鄂温克族自治旗
150000,内蒙古自治区,呼伦贝尔市,陈巴尔虎旗
150000,内蒙古自治区,呼伦贝尔市,新巴尔虎左旗
150000,内蒙古自治区,呼伦贝尔市,新巴尔虎右旗
150000,内蒙古自治区,呼伦贝尔市,满洲里市
150000,内蒙古自治区,呼伦贝尔市,牙克石市
150000,内蒙古自治区,呼伦贝尔市,扎兰屯市
150000,内蒙古自治区,呼伦贝尔市,额尔古纳市
150000,内蒙古自治区,呼伦贝尔市,根河市
150000,内蒙古自治区,巴彦淖尔市,临河区
150000,内蒙古自治区,巴彦淖尔市,五原县
150000,内蒙古自治区,巴彦淖尔市,磴口县
150000,内蒙古自治区,巴彦淖尔市,乌拉特前旗
150000,内蒙古自治区,巴彦淖尔市,乌拉特中旗
150000,内蒙古自治区,巴彦淖尔市,乌拉特后旗
150000,内蒙古自治区,巴彦淖尔市,杭锦后旗
150000,内蒙古自治区,乌兰察布市,集宁区
150000,内蒙古自治区,乌兰察布市,卓资县
150000,内蒙古自治区,乌兰察布市,化德县
150000,内蒙古自治区,乌兰察布市,商都县
150000,内蒙古自治区,乌兰察布市,兴和县
150000,内蒙古自治区,乌兰察布市,凉城县
150000,内蒙古自治区,乌兰察布市,察哈尔右翼前旗
150000,内蒙古自治区,乌兰察布市,察哈尔右翼中旗
150000,内蒙古自治区,乌兰察布市,察哈尔右翼后旗
150000,内蒙古自治区,乌兰察布市,四子王旗
150000,内蒙古自治区,乌兰察布市,丰镇市
150000,内蒙古自治区,兴安盟,乌兰浩特市
150000,内蒙古自治区,兴安盟,阿尔山市
150000,内蒙古自治区,兴安盟,科尔沁右翼前旗
150000,内蒙古自治区,兴安盟,科尔沁右翼中旗
150000,内蒙古自治区,兴安盟,扎赉特旗
150000,内蒙古自治区,兴安盟,突泉县
150000,内蒙古自治区,锡林郭勒盟,二连浩特市
150000,内蒙古自治区,锡林郭勒盟,锡林浩特市
150000,内蒙古自治区,锡林郭勒盟,阿巴嘎旗
150000,内蒙古自治区,锡林郭勒盟,苏尼特左旗
150000,内蒙古自治区,锡林郭勒盟,苏尼特右旗
150000,内蒙古自治区,锡林郭勒盟,东乌珠穆沁旗
150000,内蒙古自治区,锡林郭勒盟,西乌珠穆沁旗
150000,内蒙古自治区,锡林郭勒盟,太仆寺旗
150000,内蒙古自治区,锡林郭勒盟,镶黄旗
150000,内蒙古自治区,锡林郭勒盟,正镶白旗
150000,内蒙古自治区,锡林郭勒盟,正蓝旗
150000,内蒙古自治区,锡林郭勒盟,多伦县
150000,内蒙古自治区,阿拉善盟,阿拉善左旗
150000,内蒙古自治区,阿拉善盟,阿拉善右旗
150000,内蒙古自治区,阿拉善盟,额济纳旗
210000,辽宁省,沈阳市,和平区
210000,辽宁省,沈阳市,沈河区
210000,辽宁省,沈阳市,大东区
210000,辽宁省,沈阳市,皇姑区
210000,辽宁省,沈阳市,铁西区
210000,辽宁省,沈阳市,苏家屯区
210000,辽宁省,沈阳市,浑南区
210000,辽宁省,沈阳市,沈北新区
210000,辽宁省,沈阳市,于洪区
210000,辽宁省,沈阳市,辽中区
210000,辽宁省,沈阳市,康平县
210000,辽宁省,沈阳市,法库县
210000,辽宁省,沈阳市,新民市
210000,辽宁省,大连市,中山区
210000,辽宁省,大连市,西岗区
210000,辽宁省,大连市,沙河口区
210000,辽宁省,大连市,甘井子区
210000,辽宁省,大连市,旅顺口区
210000,辽宁省,大连市,金州区
210000,辽宁省,大连市,普兰店区
210000,辽宁省,大连市,长海县
210000,辽宁省,大连市,瓦房店市
210000,辽宁省,大连市,庄河市
210000,辽宁省,鞍山市,铁东区
210000,辽宁省,鞍山市,铁西区
210000,辽宁省,鞍山市,立山区
210000,辽宁省,鞍山市,千山区
210000,辽宁省,鞍山市,台安县
210000,辽宁省,鞍山市,岫岩满族自治县
210000,辽宁省,鞍山市,海城市
210000,辽宁省,抚顺市,新抚区
210000,辽宁省,抚顺市,东洲区
210000,辽宁省,抚顺市,望花区
210000,辽宁省,抚顺市,顺城区
210000,辽宁省,抚顺市,抚顺县
210000,辽宁省,抚顺市,新宾满族自治县
210000,辽宁省,抚顺市,清原满族自治县
210000,辽宁省,本溪市,平山区
210000,辽宁省,本溪市,溪湖区
210000,辽宁省,本溪市,明山区
210000,辽宁省,本溪市,南芬区
210000,辽宁省,本溪市,本溪满族自治县
210000,辽宁省,本溪市,桓仁满族自治县
210000,辽宁省,丹东市,元宝区
210000,辽宁省,丹东市,振兴区
210000,辽宁省,丹东市,振安区
210000,辽宁省,丹东市,宽甸满族自治县
210000,辽宁省,丹东市,东港市
210000,辽宁省,丹东市,凤城市
210000,辽宁省,锦州市,古塔区
210000,辽宁省,锦州市,凌河区
210000,辽宁省,锦州市,太和区
210000,辽宁省,锦州市,黑山县
210000,辽宁省,锦州市,义县
210000,辽宁省,锦州市,凌海市
210000,辽宁省,锦州市,北镇市
210000,辽宁省,营口市,站前区
210000,辽宁省,营口市,西市区
210000,辽宁省,营口市,鲅鱼圈区
210000,辽宁省,营口市,老边区
210000,辽宁省,营口市,盖州市
210000,辽宁省,营口市,大石桥市
210000,辽宁省,阜新市,海州区
210000,辽宁省,阜新市,新邱区
210000,辽宁省,阜新市,太平区
210000,辽宁省,阜新市,清河门区
210000,辽宁省,阜新市,细河区
210000,辽宁省,阜新市,阜新蒙古族自治县
210000,辽宁省,阜新市,彰武县
210000,辽宁省,辽阳市,白塔区
210000,辽宁省,辽阳市,文圣区
210000,辽宁省,辽阳市,宏伟区
210000,辽宁省,辽阳市,弓长岭区
210000,辽宁省,辽阳市,太子河区
210000,辽宁省,辽阳市,辽阳县
210000,辽宁省,辽阳市,灯塔市
210000,辽宁省,盘锦市,双台子区
210000,辽宁省,盘锦市,兴隆台区
210000,辽宁省,盘锦市,大洼区
210000,辽宁省,盘锦市,盘山县
210000,辽宁省,铁岭市,银州区
210000,辽宁省,铁岭市,清河区
210000,辽宁省,铁岭市,铁岭县
210000,辽宁省,铁岭市,西丰县
210000,辽宁省,铁岭市,昌图县
210000,辽宁省,铁岭市,调兵山市
210000,辽宁省,铁岭市,开原市
210000,辽宁省,朝阳市,双塔区
210000,辽宁省,朝阳市,龙城区
210000,辽宁省,朝阳市,朝阳县
210000,辽宁省,朝阳市,建平县
210000,辽宁省,朝阳市,喀喇沁左翼蒙古族自治县
210000,辽宁省,朝阳市,北票市
210000,辽宁省,朝阳市,凌源市
210000,辽宁省,葫芦岛市,连山区
210000,辽宁省,葫芦岛市,龙港区
210000,辽宁省,葫芦岛市,南票区
210000,辽宁省,葫芦岛市,绥中县
210000,辽宁省,葫芦岛市,建昌县
210000,辽宁省,葫芦岛市,兴城市
220000,吉林省,长春市,南关区
220000,吉林省,长春市,宽城区
220000,吉林省,长春市,朝阳区
220000,吉林省,长春市,二道区
220000,吉林省,长春市,绿园区
220000,吉林省,长春市,双阳区
220000,吉林省,长春市,九台区
220000,吉林省,长春市,农安县
220000,吉林省,长春市,榆树市
220000,吉林省,长春市,德惠市
220000,吉林省,长春市,公主岭市
220000,吉林省,吉林市,昌邑区
220000,吉林省,吉林市,龙潭区
220000,吉林省,吉林市,船营区
220000,吉林省,吉林市,丰满区
220000,吉林省,吉林市,永吉县
220000,吉林省,吉林市,蛟河市
220000,吉林省,吉林市,桦甸市
220000,吉林省,吉林市,舒兰市
220000,吉林省,吉林市,磐石市
220000,吉林省,四平市,铁西区
220000,吉林省,四平市,铁东区
220000,吉林省,四平市,梨树县
220000,吉林省,四平市,伊通满族自治县
220000,吉林省,四平市,双辽市
220000,吉林省,辽源市,龙山区
220000,吉林省,辽源市,西安区
220000,吉林省,辽源市,东丰县
220000,吉林省,辽源市,东辽县
220000,吉林省,通化市,东昌区
220000,吉林省,通化市,二道江区
220000,吉林省,通化市,通化县
220000,吉林省,通化市,辉南县
220000,吉林省,通化市,柳河县
220000,吉林省,通化市,梅河口市
220000,吉林省,通化市,集安市
220000,吉林省,白山市,浑江区
220000,吉林省,白山市,江源区
220000,吉林省,白山市,抚松县
220000,吉林省,白山市,靖宇县
220000,吉林省,白山市,长白朝鲜族自治县
220000,吉林省,白山市,临江市
220000,吉林省,松原市,宁江区
220000,吉林省,松原市,前郭尔罗斯蒙古族自治县
220000,吉林省,松原市,长岭县
220000,吉林省,松原市,乾安县
220000,吉林省,松原市,扶余市
220000,吉林省,白城市,洮北区
220000,吉林省,白城市,镇赉县
220000,吉林省,白城市,通榆县
220000,吉林省,白城市,洮南市
220000,吉林省,白城市,大安市
220000,吉林省,延边朝鲜族自治州,延吉市
220000,吉林省,延边朝鲜族自治州,图们市
220000,吉林省,延边朝鲜族自治州,敦化市
220000,吉林省,延边朝鲜族自治州,珲春市
220000,吉林省,延边朝鲜族自治州,龙井市
220000,吉林省,延边朝鲜族自治州,和龙市
220000,吉林省,延边朝鲜族自治州,汪清县
220000,吉林省,延边朝鲜族自治州,安图县
230000,黑龙江省,哈尔滨市,道里区
230000,黑龙江省,哈尔滨市,南岗区
230000,黑龙江省,哈尔滨市,道外区
230000,黑龙江省,哈尔滨市,平房区
230000,黑龙江省,哈尔滨市,松北区
230000,黑龙江省,哈尔滨市,香坊区
230000,黑龙江省,哈尔滨市,呼兰区
230000,黑龙江省,哈尔滨市,阿城区
230000,黑龙江省,哈尔滨市,双城区
230000,黑龙江省,哈尔滨市,依兰县
230000,黑龙江省,哈尔滨市,方正县
230000,黑龙江省,哈尔滨市,宾县
230000,黑龙江省,哈尔滨市,巴彦县
230000,黑龙江省,哈尔滨市,木兰县
230000,黑龙江省,哈尔滨市,通河县
230000,黑龙江省,哈尔滨市,延寿县
230000,黑龙江省,哈尔滨市,尚志市
230000,黑龙江省,哈尔滨市,五常市
230000,黑龙江省,齐齐哈尔市,龙沙区
230000,黑龙江省,齐齐哈尔市,建华区
230000,黑龙江省,齐齐哈尔市,铁锋区
230000,黑龙江省,齐齐哈尔市,昂昂溪区
230000,黑龙江省,齐齐哈尔市,富拉尔基区
230000,黑龙江省,齐齐哈尔市,碾子山区
230000,黑龙江省,齐齐哈尔市,梅里斯达斡尔族区
230000,黑龙江省,齐齐哈尔市,龙江县
230000,黑龙江省,齐齐哈尔市,依安县
230000,黑龙江省,齐齐哈尔市,泰来县
230000,黑龙江省,齐齐哈尔市,甘南县
230000,黑龙江省,齐齐哈尔市,富裕县
230000,黑龙江省,齐齐哈尔市,克山县
230000,黑龙江省,齐齐哈尔市,克东县
230000,黑龙江省,齐齐哈尔市,拜泉县
230000,黑龙江省,齐齐哈尔市,讷河市
230000,黑龙江省,鸡西市,鸡冠区
230000,黑龙江省,鸡西市,恒山区
230000,黑龙江省,鸡西市,滴道区
230000,黑龙江省,鸡西市,梨树区
230000,黑龙江省,鸡西市,城子河区
230000,黑龙江省,鸡西市,麻山区
230000,黑龙江省,鸡西市,鸡东县
230000,黑龙江省,鸡西市,虎林市
230000,黑龙江省,鸡西市,密山市
230000,黑龙江省,鹤岗市,向阳区
230000,黑龙江省,鹤岗市,工农区
230000,黑龙江省,鹤岗市,南山区
230000,黑龙江省,鹤岗市,兴安区
230000,黑龙江省,鹤岗市,东山区
230000,黑龙江省,鹤岗市,兴山区
230000,黑龙江省,鹤岗市,萝北县
230000,黑龙江省,鹤岗市,绥滨县
230000,黑龙江省,双鸭山市,尖山区
230000,黑龙江省,双鸭山市,岭东区
230000,黑龙江省,双鸭山市,四方台区
230000,黑龙江省,双鸭山市,宝山区
230000,黑龙江省,双鸭山市,集贤县
230000,黑龙江省,双鸭山市,友谊县
230000,黑龙江省,双鸭山市,宝清县
230000,黑龙江省,双鸭山市,饶河县
230000,黑龙江省,大庆市,萨尔图区
230000,黑龙江省,大庆市,龙凤区
230000,黑龙江省,大庆市,让胡路区
230000,黑龙江省,大庆市,红岗区
230000,黑龙江省,大庆市,大同区
230000,黑龙江省,大庆市,肇州县
230000,黑龙江省,大庆市,肇源县
230000,黑龙江省,大庆市,林甸县
230000,黑龙江省,大庆市,杜尔伯特蒙古族自治县
230000,黑龙江省,伊春市,伊美区
230000,黑龙江省,伊春市,乌翠区
230000,黑龙江省,伊春市,友好区
230000,黑龙江省,伊春市,嘉荫县
230000,黑龙江省,伊春市,汤旺县
230000,黑龙江省,伊春市,丰林县
230000,黑龙江省,伊春市,大箐山县
230000,黑龙江省,伊春市,南岔县
230000,黑龙江省,伊春市,金林区
230000,黑龙江省,伊春市,铁力市
230000,黑龙江省,佳木斯市,向阳区
230000,黑龙江省,佳木斯市,前进区
230000,黑龙江省,佳木斯市,东风区
230000,黑龙江省,佳木斯市,郊区
230000,黑龙江省,佳木斯市,桦南县
230000,黑龙江省,佳木斯市,桦川县
230000,黑龙江省,佳木斯市,汤原县
230000,黑龙江省,佳木斯市,同江市
230000,黑龙江省,佳木斯市,富锦市
230000,黑龙江省,佳木斯市,抚远市
230000,黑龙江省,七台河市,新兴区
230000,黑龙江省,七台河市,桃山区
230000,黑龙江省,七台河市,茄子河区
230000,黑龙江省,七台河市,勃利县
230000,黑龙江省,牡丹江市,东安区
230000,黑龙江省,牡丹江市,阳明区
230000,黑龙江省,牡丹江市,爱民区
230000,黑龙江省,牡丹江市,西安区
230000,黑龙江省,牡丹江市,林口县
230000,黑龙江省,牡丹江市,绥芬河市
230000,黑龙江省,牡丹江市,海林市
230000,黑龙江省,牡丹江市,宁安市
230000,黑龙江省,牡丹江市,穆棱市
230000,黑龙江省,牡丹江市,东宁市
230000,黑龙江省,黑河市,爱辉区
230000,黑龙江省,黑河市,逊克县
230000,黑龙江省,黑河市,孙吴县
230000,黑龙江省,黑河市,北安市
230000,黑龙江省,黑河市,五大连池市
230000,黑龙江省,黑河市,嫩江市
230000,黑龙江省,绥化市,北林区
230000,黑龙江省,绥化市,望奎县
230000,黑龙江省,绥化市,兰西县
230000,黑龙江省,绥化市,青冈县
230000,黑龙江省,绥化市,庆安县
